Sub-Curriculum Title,Sub-Curriculum Parent ID,Curriculum ID,Curriculum Title,Curriculum Description,Item Type,Item ID,Revision Number,Item Title,Initial Period (Item),Initial Number (Item),Effective Date,Sub-Curriculum ID,,,Active,Date Created
,,CUR-LSG-BED-QC-0010,BDX Particle Size (Bedford QC),"Training includes R&A of PROC, S3500 PARTICLE SIZE ANALYSIS and hands on OJT.  OJT will include an introduction to the Microtrac S3500 particle size analyzer/software.  Training also includes proper instrument preparation/shut down, sample preparation, testing, data printout and basic data interpretation.  Please allow 6-9 months to become fully trained as Xterminator and SAM solution are manufactured less frequently.",DOC,LSG-BED-4378615,C,4378615 S3500 VERIFICATION (PPA MA Sites),Days,28,27-Jan-26,,,,Yes,10-Apr-25
,,CUR-LSG-BED-QC-0011,BDX PASA UV (Bedford QC),,DOC,LSG-BED-4379566,B,"4379566 FORM, PASA COATING & EFFLUENT CONC (PPA MA Sites)",Days,28,10-Apr-25,,,,Yes,10-Apr-25
,,CUR-LSG-BED-QC-0011,BDX PASA UV (Bedford QC),,DOC,LSG-BED-4379565,D,"4379565 PROC, PASA EFFLUENT CONC BY UV ANALYSIS (PPA MA Sites)",Days,28,10-Apr-25,,,,Yes,10-Apr-25
,,CUR-LSG-BED-QC-0011,BDX PASA UV (Bedford QC),,OJT,LSG-BED-QC-OJT-0018,1,BDX PASA UV (Bedford MA Site),Days,28,10-Apr-25,,,,Yes,10-Apr-25
,,CUR-LSG-BED-QC-0012,"BDX PASA, PAO & PCH Capacity (Bedford QC)",,OJT,LSG-BED-QC-OJT-0019,1,"BDX PASA, PAO & PCH Capacity (Bedford MA Site)",Days,28,10-Apr-25,,,,Yes,10-Apr-25
,,CUR-LSG-BED-QC-0012,"BDX PASA, PAO & PCH Capacity (Bedford QC)",,DOC,LSG-BED-4378338,D,"4378338 PROC, PAO CAPACITY DETERMINATION (PPA MA Sites)",Days,28,20-Jul-25,,,,Yes,10-Apr-25
,,CUR-LSG-BED-QC-0012,"BDX PASA, PAO & PCH Capacity (Bedford QC)",,DOC,LSG-BED-4378340,C1,"4378340 PROC, PCH CAPACITY DETERMINATION (PPA MA Sites)",Days,28,10-Apr-25,,,,Yes,10-Apr-25
,,CUR-LSG-BED-QC-0012,"BDX PASA, PAO & PCH Capacity (Bedford QC)",,DOC,LSG-BED-4378609,C1,"4378609 FORM, PAO CAPACITY CALCULATIONS (PPA MA Sites)",Days,28,10-Apr-25,,,,Yes,10-Apr-25
,,CUR-LSG-BED-QC-0012,"BDX PASA, PAO & PCH Capacity (Bedford QC)",,DOC,LSG-BED-4378611,C1,"4378611 FORM, PCH CAPACITY CALCULATIONS (PPA MA Sites)",Days,28,10-Apr-25,,,,Yes,10-Apr-25
,,CUR-LSG-BED-QC-0012,"BDX PASA, PAO & PCH Capacity (Bedford QC)",,DOC,LSG-BED-4378612,A2,"4378612 FORM, PASA CAPACITY CALCULATIONS (PPA MA Sites)",Days,28,10-Apr-25,,,,Yes,10-Apr-25
,,CUR-LSG-BED-QC-0012,"BDX PASA, PAO & PCH Capacity (Bedford QC)",,DOC,LSG-BED-4379564,B3,"4379564 PROC, PASA POLYMER TITRATION (PPA MA Sites)",Days,28,10-Apr-25,,,,Yes,10-Apr-25
,,CUR-LSG-BED-QC-0013,BED/CHM Raw Material Inspection (Bedford QC),"Training will cover the QC inspection process of raw materials at the Bedford facilities (2P and 35W). An overview of how raw materials are inspected, sampled, tested, and dispositioned will be provided.",ELEARN,LSG-BED-QC-LI-0025,B,Raw Material Sampling Method (Packed Bed Height) (Bedford and Chelmsford MA Site),Days,28,10-Apr-25,,,,Yes,10-Apr-25
,,CUR-LSG-BED-QC-0013,BED/CHM Raw Material Inspection (Bedford QC),"Training will cover the QC inspection process of raw materials at the Bedford facilities (2P and 35W). An overview of how raw materials are inspected, sampled, tested, and dispositioned will be provided.",ELEARN,LSG-BED-QC-LI-0024,A,Raw Material Inspection (Packed Bed Height) (Bedford and Chelmsford MA Site),Days,28,10-Apr-25,,,,Yes,10-Apr-25
,,CUR-LSG-BED-QC-0013,BED/CHM Raw Material Inspection (Bedford QC),"Training will cover the QC inspection process of raw materials at the Bedford facilities (2P and 35W). An overview of how raw materials are inspected, sampled, tested, and dispositioned will be provided.",DOC,LSG-BED-DOP-00024,B,"DOP-00024 PROC, RECEIVING INSPECTION PROCESS (PPA MA Sites)",Days,28,27-Jul-25,,,,Yes,10-Apr-25
,,CUR-LSG-BED-QC-0013,BED/CHM Raw Material Inspection (Bedford QC),"Training will cover the QC inspection process of raw materials at the Bedford facilities (2P and 35W). An overview of how raw materials are inspected, sampled, tested, and dispositioned will be provided.",DOC,LSG-BED-BED3305,E,"BED3305 PROC, Manual Incoming Inspection (PPA MA Sites)",Days,28,10-Apr-25,,,,Yes,10-Apr-25
,,CUR-LSG-BED-QC-0013,BED/CHM Raw Material Inspection (Bedford QC),"Training will cover the QC inspection process of raw materials at the Bedford facilities (2P and 35W). An overview of how raw materials are inspected, sampled, tested, and dispositioned will be provided.",DOC,LSG-BED-BED3151,T,BED3151 RECEIVING INSPECTION WORK INSTRUCTIONS (PPA MA Sites),Days,28,10-Apr-25,,,,Yes,10-Apr-25
,,CUR-LSG-BED-QC-0013,BED/CHM Raw Material Inspection (Bedford QC),"Training will cover the QC inspection process of raw materials at the Bedford facilities (2P and 35W). An overview of how raw materials are inspected, sampled, tested, and dispositioned will be provided.",DOC,LSG-BED-100092694,A1,"100092694 QCI,SOP/PRINTED-PARTS/INCOM. (PPA MA Sites)",Days,28,10-Apr-25,,,,Yes,10-Apr-25
,,CUR-LSG-BED-QC-0013,BED/CHM Raw Material Inspection (Bedford QC),"Training will cover the QC inspection process of raw materials at the Bedford facilities (2P and 35W). An overview of how raw materials are inspected, sampled, tested, and dispositioned will be provided.",OJT,LSG-BED-QC-OJT-0020,1,BED/CHM Raw Material Inspection (Bedford and Chelmsford MA Sites),Days,28,10-Apr-25,,,,Yes,10-Apr-25
,,CUR-LSG-BED-QC-0014,Bioburden and Endotoxin Sampling (Bedford QC),"This role will require an R&A for Contract Laboratory Testing (BED3172) an R&A for Bioburden and Endotoxin Sampling for POROS Resins & Tropix Synthesis Polymers (100075299). A LI will cover the sampling process.  OJT will include preparing media, sampling plan, performing bioburden and endotoxin sampling aseptically using a laminar flow hood, and clean-up.",OJT,LSG-BED-QC-OJT-0022,1,Bioburden and Endotoxin Sampling (Bedford and Chelmsford MA Sites),Days,28,10-Apr-25,,,,Yes,10-Apr-25
,,CUR-LSG-BED-QC-0014,Bioburden and Endotoxin Sampling (Bedford QC),"This role will require an R&A for Contract Laboratory Testing (BED3172) an R&A for Bioburden and Endotoxin Sampling for POROS Resins & Tropix Synthesis Polymers (100075299). A LI will cover the sampling process.  OJT will include preparing media, sampling plan, performing bioburden and endotoxin sampling aseptically using a laminar flow hood, and clean-up.",DOC,LSG-BED-100075299,C,100075299 BIOBURDEN SAMPLING FOR FINAL PRODUCT (PPA MA Sites),Days,28,22-Jun-25,,,,Yes,10-Apr-25
,,CUR-LSG-BED-QC-0014,Bioburden and Endotoxin Sampling (Bedford QC),"This role will require an R&A for Contract Laboratory Testing (BED3172) an R&A for Bioburden and Endotoxin Sampling for POROS Resins & Tropix Synthesis Polymers (100075299). A LI will cover the sampling process.  OJT will include preparing media, sampling plan, performing bioburden and endotoxin sampling aseptically using a laminar flow hood, and clean-up.",DOC,LSG-BED-BED3172,H,BED3172 CONTRACT LABORATORY TESTING (PPA MA Sites),Days,28,22-Jun-25,,,,Yes,10-Apr-25
,,CUR-LSG-BED-QC-0014,Bioburden and Endotoxin Sampling (Bedford QC),"This role will require an R&A for Contract Laboratory Testing (BED3172) an R&A for Bioburden and Endotoxin Sampling for POROS Resins & Tropix Synthesis Polymers (100075299). A LI will cover the sampling process.  OJT will include preparing media, sampling plan, performing bioburden and endotoxin sampling aseptically using a laminar flow hood, and clean-up.",ELEARN,LSG-BED-QC-LI-0023,A,QC-Bioburden in POROS Media & Synthesis Polymers (Packed Bed Height) (Bedford and Chelmsford MA Site),Days,28,10-Apr-25,,,,Yes,10-Apr-25
